,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,month,customer lifetime value_temp,income_temp,months since last claim_temp,months since policy inception_temp
28,5776.338737,27510,159,5.0,28,3.0,1,1,3989,27510.0,5.0,28.0
29,9115.57169,69588,114,19.0,45,0.0,6,2,6127,69588.0,19.0,45.0
30,4163.04081,43276,104,16.0,11,0.0,1,2,2126,43276.0,16.0,11.0
31,5264.642009,0,72,30.0,26,0.0,8,2,3383,37657.38000875848,30.0,26.0
32,3945.241604,28855,101,12.0,59,0.0,1,1,1960,28855.0,12.0,59.0
33,5176.730072,41533,65,2.0,46,0.0,9,2,3268,41533.0,2.0,46.0
34,4492.23348,21137,61,29.0,62,1.0,6,1,2394,21137.0,29.0,62.0
35,8470.043225,0,82,1.0,13,0.0,2,2,5737,37657.38000875848,1.0,13.0
36,2880.348532,81565,71,19.0,54,0.0,1,1,1178,81565.0,19.0,54.0
37,6182.618843,20072,82,35.0,51,0.0,9,2,4239,20072.0,35.0,51.0
38,9799.175061,22166,126,10.0,22,0.0,6,1,6366,22166.0,10.0,22.0
39,5790.565333,84551,72,10.0,82,0.0,5,2,3998,84551.0,10.0,82.0
40,5041.447024,61972,64,2.0,52,2.0,5,1,3088,61972.0,2.0,52.0
41,5745.94334,57740,74,30.0,87,3.0,9,1,3959,57740.0,30.0,87.0
42,4827.77681,0,68,29.0,91,0.0,6,1,2780,37657.38000875848,29.0,91.0
43,7664.219255,60184,199,7.0,44,1.0,1,1,5153,60184.0,7.0,44.0
44,3593.12645,18213,96,12.0,43,1.0,1,2,1730,18213.0,12.0,43.0
45,9863.502214,99654,121,13.0,95,0.0,3,2,6381,99654.0,13.0,95.0
46,5111.304579,76448,63,9.0,13,0.0,3,2,3178,76448.0,9.0,13.0
47,2452.491364,51085,62,4.0,58,1.0,1,1,346,51085.0,4.0,58.0
48,2194.668123,0,62,11.0,48,0.0,1,1,57,37657.38000875848,11.0,48.0
49,4473.883999,0,125,2.0,84,0.0,1,2,2376,37657.38000875848,2.0,84.0
50,19435.62924,38688,249,22.0,6,0.0,3,2,7509,38688.0,22.0,6.0
51,2457.576007,52926,61,2.0,92,0.0,1,1,359,52926.0,2.0,92.0
52,6870.607058,0,105,5.0,87,0.0,3,1,4592,37657.38000875848,5.0,87.0
53,5651.396772,44634,71,16.0,99,1.0,9,1,3873,44634.0,16.0,99.0
54,4556.068318,25617,63,22.0,3,0.0,3,2,2466,25617.0,22.0,3.0
55,3095.705571,0,92,31.0,24,1.0,1,1,1388,37657.38000875848,31.0,24.0
56,5860.16743,94527,73,16.0,32,0.0,3,2,4055,94527.0,16.0,32.0
57,2300.691547,25905,63,21.0,12,0.0,1,1,127,25905.0,21.0,12.0
58,4950.250892,27400,63,14.0,78,1.0,9,1,2965,27400.0,14.0,78.0
59,2224.089639,0,64,20.0,4,0.0,1,1,73,37657.38000875848,20.0,4.0
60,2867.312197,23376,78,19.0,18,0.0,1,1,1157,23376.0,19.0,18.0
61,5427.174517,27677,72,10.0,82,1.0,3,2,3610,27677.0,10.0,82.0
62,12157.5413,40432,77,21.0,66,0.0,2,1,6796,40432.0,21.0,66.0
63,8152.244431,0,79,19.0,70,0.0,2,1,5506,37657.38000875848,19.0,70.0
64,2191.133237,0,61,9.0,16,1.0,1,1,56,37657.38000875848,9.0,16.0
65,26346.08582,48268,223,28.0,26,0.0,2,1,7794,48268.0,28.0,26.0
66,2364.43161,46264,62,17.0,75,0.0,1,1,189,46264.0,17.0,75.0
67,2710.12066,0,71,7.0,87,0.0,1,1,868,37657.38000875848,7.0,87.0
68,74228.51604,0,242,1.0,34,0.0,2,1,8039,37657.38000875848,1.0,34.0
69,14687.07959,0,85,3.0,61,0.0,2,2,7142,37657.38000875848,3.0,61.0
70,9312.585034,75986,115,11.0,44,0.0,3,2,6196,75986.0,11.0,44.0
71,7750.120323,22668,67,5.0,34,1.0,2,2,5214,22668.0,5.0,34.0
72,2540.689797,42557,65,4.0,35,0.0,1,2,536,42557.0,4.0,35.0
73,2456.816127,0,73,15.0,59,0.0,1,2,356,37657.38000875848,15.0,59.0
74,3755.806897,56178,94,1.0,39,0.0,1,1,1837,56178.0,1.0,39.0
75,32474.76977,71449,102,17.0,7,0.0,2,1,7916,71449.0,17.0,7.0
76,6941.872931,0,111,3.0,73,3.0,6,2,4634,37657.38000875848,3.0,73.0
77,7048.384055,24030,194,14.0,0,0.0,1,2,4689,24030.0,14.0,48.064593825268226
78,26770.44534,26335,113,32.0,7,1.0,2,1,7805,26335.0,32.0,7.0
79,9549.113813,55986,119,3.0,60,0.0,9,2,6290,55986.0,3.0,60.0
80,4331.460674,82302,106,11.0,92,0.0,1,2,2255,82302.0,11.0,92.0
81,7294.492993,0,113,12.0,66,2.0,7,2,4857,37657.38000875848,12.0,66.0
82,3289.120863,40097,92,23.0,35,4.0,1,1,1514,40097.0,23.0,35.0
83,3417.953745,72460,85,9.0,76,0.0,1,1,1601,72460.0,9.0,76.0
84,16320.76716,0,247,5.0,12,3.0,5,2,7311,37657.38000875848,5.0,12.0
85,2838.067784,0,80,30.0,8,0.0,1,2,1095,37657.38000875848,30.0,8.0
86,4700.583771,76694,117,34.0,23,0.0,1,2,2611,76694.0,34.0,23.0
87,2471.528431,95697,61,16.0,55,0.0,1,1,390,95697.0,16.0,55.0
88,10130.93442,59232,85,6.0,75,0.0,2,1,6443,59232.0,6.0,75.0
89,3419.108695,40272,86,8.0,64,0.0,1,2,1602,40272.0,8.0,64.0
90,23866.15656,0,81,27.0,93,1.0,2,2,7714,37657.38000875848,27.0,93.0
91,3179.474225,65742,79,6.0,0,0.0,1,1,1443,65742.0,6.0,48.064593825268226
92,16407.66461,22103,109,16.0,31,0.0,2,1,7318,22103.0,16.0,31.0
93,9371.773682,66325,117,10.0,10,0.0,5,2,6219,66325.0,10.0,10.0
94,4270.034394,0,122,27.0,2,0.0,1,1,2204,37657.38000875848,27.0,2.0
95,5799.826802,60689,74,29.0,67,0.0,7,1,4009,60689.0,29.0,67.0
96,5096.673223,22886,65,9.0,81,0.0,3,1,3157,22886.0,9.0,81.0
97,15563.36944,0,253,15.0,40,5.0,7,1,7246,37657.38000875848,15.0,40.0
98,7475.784971,29633,196,26.0,57,0.0,1,1,4999,29633.0,26.0,57.0
99,9986.661111,24067,132,12.0,2,0.0,6,1,6408,24067.0,12.0,2.0
100,5568.656492,51489,139,14.0,10,0.0,1,2,3769,51489.0,14.0,10.0
101,20579.69157,0,69,5.0,26,0.0,2,1,7570,37657.38000875848,5.0,26.0
102,8276.44416,0,82,29.0,92,0.0,2,2,5604,37657.38000875848,29.0,92.0
103,4014.332715,54054,99,7.0,55,0.0,1,2,2008,54054.0,7.0,55.0
104,12989.81806,0,65,16.0,3,0.0,2,2,6913,37657.38000875848,16.0,3.0
105,15114.40241,28513,100,4.0,22,1.0,2,1,7189,28513.0,4.0,22.0
106,4709.52218,0,66,17.0,29,0.0,3,2,2617,37657.38000875848,17.0,29.0
107,2452.977288,79898,62,5.0,86,1.0,1,2,349,79898.0,5.0,86.0
108,3919.366722,66676,97,0.0,40,0.0,1,1,1946,66676.0,15.097000218962119,40.0
109,12332.51669,85789,105,18.0,54,2.0,2,2,6827,85789.0,18.0,54.0
110,35862.99324,26376,121,7.0,19,0.0,2,2,7951,26376.0,7.0,19.0
111,2398.354197,14321,65,20.0,72,0.0,1,2,235,14321.0,20.0,72.0
112,6005.847375,13528,86,21.0,35,0.0,3,2,4159,13528.0,21.0,35.0
113,8013.895125,65636,67,15.0,72,0.0,2,1,5401,65636.0,15.0,72.0
114,4979.079933,0,71,17.0,57,0.0,5,1,2999,37657.38000875848,17.0,57.0
115,4834.710493,38713,66,31.0,69,4.0,6,1,2786,38713.0,31.0,69.0
116,3288.209809,0,102,16.0,1,1.0,1,1,1511,37657.38000875848,16.0,1.0
117,5525.470004,64816,69,30.0,33,0.0,7,2,3717,64816.0,30.0,33.0
118,9031.214859,0,122,15.0,47,0.0,9,2,6080,37657.38000875848,15.0,47.0
119,4620.390087,0,130,11.0,0,0.0,1,2,2523,37657.38000875848,11.0,48.064593825268226
120,5552.596353,50470,71,1.0,87,0.0,8,2,3745,50470.0,1.0,87.0
121,3842.028065,27906,102,5.0,57,0.0,1,1,1895,27906.0,5.0,57.0
122,5093.379714,91814,63,30.0,99,0.0,3,1,3152,91814.0,30.0,99.0
123,16794.31422,38399,106,12.0,6,0.0,2,2,7350,38399.0,12.0,6.0
124,24278.10167,20983,97,10.0,52,1.0,2,2,7737,20983.0,10.0,52.0
125,7462.926263,70263,93,30.0,66,0.0,5,1,4992,70263.0,30.0,66.0
126,3735.838129,0,110,3.0,16,0.0,1,1,1824,37657.38000875848,3.0,16.0
127,2891.272351,80590,71,4.0,19,0.0,1,2,1193,80590.0,4.0,19.0
128,11981.98481,21514,62,0.0,59,0.0,2,1,6777,21514.0,15.097000218962119,59.0
129,4282.947971,40864,109,16.0,70,1.0,1,2,2216,40864.0,16.0,70.0
130,5380.898636,55350,67,0.0,13,0.0,9,2,3543,55350.0,15.097000218962119,13.0
131,5828.1822,31364,74,28.0,47,0.0,3,2,4039,31364.0,28.0,47.0
132,5048.051359,34452,126,2.0,51,0.0,1,2,3094,34452.0,2.0,51.0
133,7737.265103,50296,65,26.0,62,1.0,2,1,5209,50296.0,26.0,62.0
134,7950.178237,26189,69,6.0,42,0.0,2,1,5353,26189.0,6.0,42.0
135,8007.399376,0,112,12.0,93,0.0,3,1,5391,37657.38000875848,12.0,93.0
136,4873.436612,18866,126,4.0,62,0.0,1,1,2839,18866.0,4.0,62.0
137,2252.416825,0,65,13.0,84,0.0,1,1,95,37657.38000875848,13.0,84.0
138,4957.033603,62803,62,16.0,12,0.0,5,1,2972,62803.0,16.0,12.0
139,2655.864573,83460,66,20.0,18,0.0,1,1,766,83460.0,20.0,18.0
140,5898.733666,53998,78,5.0,38,5.0,8,2,4089,53998.0,5.0,38.0
141,17723.76398,25771,222,21.0,58,0.0,4,2,7409,25771.0,21.0,58.0
142,4517.908834,25261,118,31.0,9,0.0,1,2,2421,25261.0,31.0,9.0
143,5310.861767,0,72,17.0,11,1.0,3,2,3448,37657.38000875848,17.0,11.0
144,2773.455358,73478,68,2.0,38,0.0,1,1,991,73478.0,2.0,38.0
145,5504.139033,0,73,18.0,45,0.0,5,2,3689,37657.38000875848,18.0,45.0
146,8488.561363,80213,70,12.0,17,0.0,2,1,5753,80213.0,12.0,17.0
147,2471.528431,95697,61,16.0,55,0.0,1,1,390,95697.0,16.0,55.0
148,12313.16484,0,116,7.0,57,0.0,2,1,6822,37657.38000875848,7.0,57.0
149,3982.180708,38500,99,26.0,49,1.0,1,1,1989,38500.0,26.0,49.0
150,8237.037945,23940,107,13.0,34,0.0,7,1,5573,23940.0,13.0,34.0
151,5366.779081,0,70,5.0,29,0.0,4,2,3527,37657.38000875848,5.0,29.0
152,5583.068307,57925,72,33.0,13,1.0,3,2,3790,57925.0,33.0,13.0
153,7356.559341,81145,92,34.0,92,0.0,8,1,4905,81145.0,34.0,92.0
154,10144.3094,27231,88,0.0,7,0.0,2,1,6444,27231.0,15.097000218962119,7.0
155,8672.194272,22547,112,7.0,60,0.0,3,1,5889,22547.0,7.0,60.0
156,2674.730716,56342,69,12.0,89,0.0,1,2,801,56342.0,12.0,89.0
157,34611.37896,20090,109,10.0,59,0.0,2,1,7937,20090.0,10.0,59.0
158,8071.334962,72149,101,18.0,43,0.0,6,2,5445,72149.0,18.0,43.0
159,7255.714453,10710,94,12.0,33,0.0,7,1,4817,10710.0,12.0,33.0
160,14510.7505,60120,182,30.0,21,0.0,6,1,7123,60120.0,30.0,21.0
161,11009.13049,51643,283,16.0,43,0.0,1,1,6637,51643.0,16.0,43.0
162,4633.336334,27132,63,32.0,59,1.0,4,1,2537,27132.0,32.0,59.0
163,5272.518472,85607,66,26.0,1,0.0,3,2,3393,85607.0,26.0,1.0
164,4340.086445,0,62,22.0,39,0.0,6,1,2261,37657.38000875848,22.0,39.0
165,5488.931031,33881,68,11.0,83,0.0,9,2,3670,33881.0,11.0,83.0
166,14228.23432,31650,121,25.0,17,0.0,2,1,7095,31650.0,25.0,17.0
167,12840.43291,0,90,1.0,94,0.0,2,2,6890,37657.38000875848,1.0,94.0
168,2673.319593,28728,67,8.0,10,0.0,1,2,798,28728.0,8.0,10.0
169,5332.462694,68931,66,32.0,30,0.0,7,2,3481,68931.0,32.0,30.0
170,10064.60828,20440,128,11.0,54,2.0,9,2,6426,20440.0,11.0,54.0
171,8197.197078,0,110,27.0,87,0.0,3,1,5546,37657.38000875848,27.0,87.0
172,3514.212939,73643,89,2.0,2,0.0,1,2,1670,73643.0,2.0,2.0
173,4293.009593,0,61,18.0,15,0.0,8,1,2219,37657.38000875848,18.0,15.0
174,3567.503755,0,102,28.0,11,0.0,1,1,1705,37657.38000875848,28.0,11.0
175,46805.22306,83006,235,8.0,61,1.0,2,2,8016,83006.0,8.0,61.0
176,2666.976685,79251,67,10.0,32,1.0,1,2,788,79251.0,10.0,32.0
177,13057.01188,0,190,9.0,67,0.0,7,2,6927,37657.38000875848,9.0,67.0
178,5823.162917,88359,73,1.0,49,0.0,9,1,4033,88359.0,1.0,49.0
179,9536.338382,62421,80,22.0,50,2.0,2,1,6285,62421.0,22.0,50.0
180,8107.26533,0,76,0.0,91,0.0,2,1,5479,37657.38000875848,15.097000218962119,91.0
181,3484.141641,34307,92,33.0,62,2.0,1,1,1650,34307.0,33.0,62.0
182,34039.05613,0,104,26.0,66,0.0,2,1,7934,37657.38000875848,26.0,66.0
183,7995.441263,66685,67,35.0,50,2.0,2,1,5378,66685.0,35.0,50.0
184,11611.94584,28915,76,10.0,49,0.0,2,2,6722,28915.0,10.0,49.0
185,4454.104455,0,68,5.0,72,1.0,3,2,2355,37657.38000875848,5.0,72.0
186,5395.346288,0,74,13.0,30,0.0,4,2,3571,37657.38000875848,13.0,30.0
187,8447.888167,61337,105,35.0,46,0.0,9,2,5722,61337.0,35.0,46.0
188,2927.07045,75685,73,35.0,47,0.0,1,2,1254,75685.0,35.0,47.0
189,2960.029328,0,82,0.0,28,0.0,1,2,1296,37657.38000875848,15.097000218962119,28.0
190,6582.450781,0,62,3.0,44,0.0,2,2,4435,37657.38000875848,3.0,44.0
191,2844.849804,80306,71,11.0,12,0.0,1,2,1111,80306.0,11.0,12.0
192,4434.411172,34549,111,8.0,78,0.0,1,1,2342,34549.0,8.0,78.0
193,5568.947534,0,79,21.0,53,1.0,7,1,3771,37657.38000875848,21.0,53.0
194,7031.463693,16224,93,13.0,55,0.0,9,1,4681,16224.0,13.0,55.0
195,2449.31771,47122,62,6.0,77,0.0,1,2,335,47122.0,6.0,77.0
196,2504.444752,0,69,23.0,15,0.0,1,1,459,37657.38000875848,23.0,15.0
197,9095.049868,37937,116,11.0,42,0.0,5,1,6111,37937.0,11.0,42.0
198,8071.65295,0,112,3.0,84,0.0,7,2,5446,37657.38000875848,3.0,84.0
199,15032.9003,17150,65,28.0,19,0.0,2,1,7182,17150.0,28.0,19.0
200,8256.2978,62902,69,14.0,94,0.0,2,1,5583,62902.0,14.0,94.0
201,11009.13049,51643,283,16.0,43,0.0,1,1,6637,51643.0,16.0,43.0
202,5318.89664,25134,67,3.0,0,0.0,6,1,3458,25134.0,3.0,48.064593825268226
203,4733.507343,0,62,5.0,41,0.0,3,1,2649,37657.38000875848,5.0,41.0
204,33473.34946,33190,106,18.0,95,0.0,2,1,7931,33190.0,18.0,95.0
205,4550.856045,17913,116,0.0,39,0.0,1,2,2460,17913.0,15.097000218962119,39.0
206,4772.943848,20993,133,35.0,90,0.0,1,2,2709,20993.0,35.0,90.0
207,6285.15476,52210,80,6.0,74,0.0,9,2,4300,52210.0,6.0,74.0
208,4434.941371,58082,112,31.0,66,1.0,1,2,2343,58082.0,31.0,66.0
209,17254.03699,0,69,33.0,49,1.0,2,1,7381,37657.38000875848,33.0,49.0
210,2915.614781,86599,73,32.0,89,0.0,1,1,1239,86599.0,32.0,89.0
211,15762.53198,44362,66,15.0,75,0.0,2,2,7262,44362.0,15.0,75.0
212,4273.587765,82214,106,11.0,19,1.0,1,1,2208,82214.0,11.0,19.0
213,2816.567395,41228,71,19.0,13,0.0,1,2,1061,41228.0,19.0,13.0
214,5548.031892,67798,69,1.0,78,0.0,9,1,3739,67798.0,1.0,78.0
215,32654.8383,0,153,7.0,75,0.0,2,2,7919,37657.38000875848,7.0,75.0
216,2927.734329,51991,73,4.0,95,0.0,1,2,1257,51991.0,4.0,95.0
217,5320.081159,88669,66,9.0,18,1.0,4,2,3461,88669.0,9.0,18.0
218,7590.050089,10375,66,10.0,95,0.0,2,1,5086,10375.0,10.0,95.0
219,4605.036646,22571,63,29.0,51,0.0,9,1,2514,22571.0,29.0,51.0
220,9587.586583,84539,119,10.0,71,0.0,4,1,6304,84539.0,10.0,71.0
221,4873.350518,47824,129,8.0,56,3.0,1,2,2838,47824.0,8.0,56.0
222,4786.054889,0,68,4.0,67,0.0,9,1,2728,37657.38000875848,4.0,67.0
223,15994.008,0,159,19.0,75,0.0,2,2,7286,37657.38000875848,19.0,75.0
224,5395.091602,86640,67,2.0,25,0.0,5,2,3570,86640.0,2.0,25.0
225,2356.074955,0,63,22.0,94,0.0,1,2,179,37657.38000875848,22.0,94.0
226,5133.414764,53390,64,13.0,41,0.0,5,2,3210,53390.0,13.0,41.0
227,4996.564694,25915,64,13.0,62,0.0,7,2,3026,25915.0,13.0,62.0
228,3921.018919,62445,98,19.0,12,1.0,1,1,1948,62445.0,19.0,12.0
229,20171.96154,24804,73,19.0,98,0.0,2,2,7544,24804.0,19.0,98.0
230,5528.212807,36088,72,16.0,31,0.0,9,1,3722,36088.0,16.0,31.0
231,4077.501164,53093,103,3.0,62,0.0,1,1,2060,53093.0,3.0,62.0
232,4917.889638,0,71,27.0,81,0.0,5,1,2922,37657.38000875848,27.0,81.0
233,5686.961001,30242,72,30.0,23,0.0,3,1,3909,30242.0,30.0,23.0
234,19259.84494,35973,159,5.0,97,0.0,2,1,7497,35973.0,5.0,97.0
235,2486.064902,36635,63,20.0,28,0.0,1,2,419,36635.0,20.0,28.0
236,5948.98896,88122,148,15.0,10,0.0,1,2,4129,88122.0,15.0,10.0
237,10996.71336,0,104,29.0,73,0.0,2,1,6633,37657.38000875848,29.0,73.0
238,4803.935174,0,69,31.0,25,0.0,7,2,2749,37657.38000875848,31.0,25.0
239,7761.267839,43137,96,8.0,41,0.0,8,2,5226,43137.0,8.0,41.0
240,4334.064096,23904,123,1.0,67,3.0,1,2,2256,23904.0,1.0,67.0
241,7695.122957,50147,101,4.0,37,0.0,3,1,5175,50147.0,4.0,37.0
242,2397.036098,22283,65,16.0,93,0.0,1,1,232,22283.0,16.0,93.0
243,42561.63183,66661,119,23.0,41,0.0,2,1,8001,66661.0,23.0,41.0
244,7153.208425,32238,91,15.0,80,0.0,4,2,4747,32238.0,15.0,80.0
245,6143.898219,45032,77,13.0,35,0.0,3,1,4222,45032.0,13.0,35.0
246,26180.80528,68189,82,10.0,17,1.0,2,1,7784,68189.0,10.0,17.0
247,18688.30707,0,76,2.0,66,0.0,2,1,7464,37657.38000875848,2.0,66.0
248,7089.68396,52707,90,33.0,66,1.0,6,2,4712,52707.0,33.0,66.0
249,41787.90343,46587,119,34.0,74,2.0,2,1,7997,46587.0,34.0,74.0
250,4786.009693,23402,61,29.0,38,0.0,7,2,2727,23402.0,29.0,38.0
251,7918.334928,44698,211,0.0,88,4.0,1,2,5334,44698.0,15.097000218962119,88.0
252,2858.087414,27382,71,33.0,35,0.0,1,1,1132,27382.0,33.0,35.0
253,2719.853023,41005,70,22.0,37,0.0,1,1,885,41005.0,22.0,37.0
254,2837.109178,90893,70,8.0,82,0.0,1,2,1093,90893.0,8.0,82.0
255,2535.321683,0,68,24.0,73,0.0,1,2,523,37657.38000875848,24.0,73.0
256,5555.830205,74015,72,12.0,61,0.0,6,2,3755,74015.0,12.0,61.0
257,7937.064822,22862,67,9.0,40,0.0,2,2,5345,22862.0,9.0,40.0
258,11790.49617,25251,66,13.0,43,0.0,2,1,6751,25251.0,13.0,43.0
259,22305.32351,0,102,13.0,89,0.0,2,2,7657,37657.38000875848,13.0,89.0
260,6328.180924,0,100,17.0,21,2.0,4,1,4327,37657.38000875848,17.0,21.0
261,8433.228985,57961,72,27.0,64,0.0,2,2,5712,57961.0,27.0,64.0
262,9657.579498,0,131,34.0,61,0.0,9,1,6326,37657.38000875848,34.0,61.0
263,7559.206998,0,119,33.0,58,1.0,3,1,5067,37657.38000875848,33.0,58.0
264,5755.18214,97657,71,2.0,19,0.0,8,1,3968,97657.0,2.0,19.0
265,2868.598866,40046,73,10.0,51,0.0,1,1,1158,40046.0,10.0,51.0
266,8256.2978,62902,69,14.0,94,0.0,2,1,5583,62902.0,14.0,94.0
267,6595.101921,0,105,2.0,38,2.0,7,1,4437,37657.38000875848,2.0,38.0
268,8725.292767,69772,112,17.0,38,0.0,9,2,5936,69772.0,17.0,38.0
269,3444.171166,0,93,10.0,63,0.0,1,2,1620,37657.38000875848,10.0,63.0
270,5217.513287,39854,66,6.0,4,0.0,7,2,3316,39854.0,6.0,4.0
271,2769.252177,40506,70,14.0,98,0.0,1,2,982,40506.0,14.0,98.0
272,11124.60499,0,112,25.0,69,0.0,2,1,6656,37657.38000875848,25.0,69.0
273,5394.703229,65978,67,3.0,50,0.0,3,2,3568,65978.0,3.0,50.0
274,2816.756002,42937,71,14.0,9,0.0,1,1,1062,42937.0,14.0,9.0
275,2585.206268,28137,65,23.0,2,0.0,1,1,627,28137.0,23.0,2.0
276,4236.84292,14476,113,11.0,0,0.0,1,1,2187,14476.0,11.0,48.064593825268226
277,34708.87261,0,109,3.0,19,0.0,2,2,7938,37657.38000875848,3.0,19.0
278,3034.646997,68205,76,35.0,14,0.0,1,2,1347,68205.0,35.0,14.0
279,7844.252972,0,102,20.0,46,0.0,3,1,5280,37657.38000875848,20.0,46.0
280,3259.885006,52782,85,20.0,61,4.0,1,1,1496,52782.0,20.0,61.0
281,2280.386988,0,61,16.0,29,0.0,1,2,116,37657.38000875848,16.0,29.0
282,5794.104234,88370,74,0.0,16,1.0,9,2,4004,88370.0,15.097000218962119,16.0
283,12520.97907,0,126,4.0,59,0.0,2,2,6850,37657.38000875848,4.0,59.0
284,4089.463358,60759,104,20.0,85,0.0,1,2,2071,60759.0,20.0,85.0
285,5771.610372,65709,72,33.0,77,0.0,3,2,3985,65709.0,33.0,77.0
286,5133.635886,38795,65,23.0,64,0.0,3,2,3211,38795.0,23.0,64.0
287,2531.73969,31993,66,14.0,4,1.0,1,2,515,31993.0,14.0,4.0
288,9756.044954,67632,121,0.0,44,0.0,4,1,6353,67632.0,15.097000218962119,44.0
289,2329.459058,20934,61,14.0,35,1.0,1,2,154,20934.0,14.0,35.0
290,2514.59196,43860,65,15.0,58,0.0,1,2,481,43860.0,15.0,58.0
291,4647.423581,28314,121,21.0,37,0.0,1,2,2555,28314.0,21.0,37.0
292,9976.24549,74115,63,24.0,24,0.0,2,2,6405,74115.0,24.0,24.0
293,2738.001957,0,74,27.0,91,0.0,1,2,926,37657.38000875848,27.0,91.0
294,2476.480866,47918,62,2.0,51,0.0,1,2,396,47918.0,2.0,51.0
295,7250.029606,0,69,17.0,10,0.0,2,2,4813,37657.38000875848,17.0,10.0
296,5504.139033,0,73,18.0,45,0.0,5,2,3689,37657.38000875848,18.0,45.0
297,3776.665506,68727,94,19.0,76,0.0,1,2,1850,68727.0,19.0,76.0
298,8932.317753,60909,112,8.0,94,0.0,5,1,6037,60909.0,8.0,94.0
299,6352.961129,80587,78,7.0,5,0.0,6,1,4334,80587.0,7.0,5.0
300,3785.754787,26318,96,23.0,29,0.0,1,2,1853,26318.0,23.0,29.0
301,12663.59666,27739,104,16.0,22,0.0,2,2,6864,27739.0,16.0,22.0
302,12625.27947,79421,104,2.0,85,0.0,2,1,6862,79421.0,2.0,85.0
303,4964.63152,52679,62,21.0,3,0.0,4,1,2981,52679.0,21.0,3.0
304,8658.863813,62464,109,23.0,45,0.0,4,2,5878,62464.0,23.0,45.0
305,28119.28723,68211,99,9.0,21,0.0,2,1,7837,68211.0,9.0,21.0
306,17435.68167,54105,73,22.0,15,2.0,2,1,7390,54105.0,22.0,15.0
307,5553.362689,0,89,1.0,84,1.0,4,2,3748,37657.38000875848,1.0,84.0
308,3996.772165,46210,100,2.0,44,0.0,1,2,1998,46210.0,2.0,44.0
309,4911.002585,32903,64,4.0,41,3.0,3,1,2908,32903.0,4.0,41.0
310,5174.081063,88081,64,35.0,94,0.0,5,1,3263,88081.0,35.0,94.0
311,2886.451602,10312,78,10.0,63,0.0,1,1,1187,10312.0,10.0,63.0
312,15122.99194,0,72,35.0,86,0.0,2,2,7193,37657.38000875848,35.0,86.0
313,9517.07801,0,87,13.0,76,0.0,2,2,6282,37657.38000875848,13.0,76.0
314,4772.931526,15323,128,30.0,61,0.0,1,1,2708,15323.0,30.0,61.0
315,3966.129505,72439,100,5.0,22,1.0,1,2,1975,72439.0,5.0,22.0
316,2750.705045,51789,70,8.0,34,0.0,1,1,949,51789.0,8.0,34.0
