,CUSTOMER LIFETIME VALUE,INCOME,MONTHLY PREMIUM AUTO,MONTHS SINCE LAST CLAIM,MONTHS SINCE POLICY INCEPTION,NUMBER OF OPEN COMPLAINTS,NUMBER OF POLICIES,MONTH,CUSTOMER LIFETIME VALUE_TEMP
46,5111.304579,76448,63,9.0,13,0.0,3,2,3178
47,2452.491364,51085,62,4.0,58,1.0,1,1,346
48,2194.668123,0,62,11.0,48,0.0,1,1,57
49,4473.883999,0,125,2.0,84,0.0,1,2,2376
50,19435.62924,38688,249,22.0,6,0.0,3,2,7509
51,2457.576007,52926,61,2.0,92,0.0,1,1,359
52,6870.607058,0,105,5.0,87,0.0,3,1,4592
53,5651.396772,44634,71,16.0,99,1.0,9,1,3873
54,4556.068318,25617,63,22.0,3,0.0,3,2,2466
55,3095.705571,0,92,31.0,24,1.0,1,1,1388
56,5860.16743,94527,73,16.0,32,0.0,3,2,4055
57,2300.691547,25905,63,21.0,12,0.0,1,1,127
58,4950.250892,27400,63,14.0,78,1.0,9,1,2965
59,2224.089639,0,64,20.0,4,0.0,1,1,73
60,2867.312197,23376,78,19.0,18,0.0,1,1,1157
61,5427.174517,27677,72,10.0,82,1.0,3,2,3610
62,12157.5413,40432,77,21.0,66,0.0,2,1,6796
63,8152.244431,0,79,19.0,70,0.0,2,1,5506
64,2191.133237,0,61,9.0,16,1.0,1,1,56
65,26346.08582,48268,223,28.0,26,0.0,2,1,7794
66,2364.43161,46264,62,17.0,75,0.0,1,1,189
67,2710.12066,0,71,7.0,87,0.0,1,1,868
68,74228.51604,0,242,1.0,34,0.0,2,1,8039
69,14687.07959,0,85,3.0,61,0.0,2,2,7142
70,9312.585034,75986,115,11.0,44,0.0,3,2,6196
71,7750.120323,22668,67,5.0,34,1.0,2,2,5214
72,2540.689797,42557,65,4.0,35,0.0,1,2,536
73,2456.816127,0,73,15.0,59,0.0,1,2,356
74,3755.806897,56178,94,1.0,39,0.0,1,1,1837
75,32474.76977,71449,102,17.0,7,0.0,2,1,7916
76,6941.872931,0,111,3.0,73,3.0,6,2,4634
77,7048.384055,24030,194,14.0,0,0.0,1,2,4689
78,26770.44534,26335,113,32.0,7,1.0,2,1,7805
79,9549.113813,55986,119,3.0,60,0.0,9,2,6290
80,4331.460674,82302,106,11.0,92,0.0,1,2,2255
81,7294.492993,0,113,12.0,66,2.0,7,2,4857
82,3289.120863,40097,92,23.0,35,4.0,1,1,1514
83,3417.953745,72460,85,9.0,76,0.0,1,1,1601
84,16320.76716,0,247,5.0,12,3.0,5,2,7311
85,2838.067784,0,80,30.0,8,0.0,1,2,1095
86,4700.583771,76694,117,34.0,23,0.0,1,2,2611
87,2471.528431,95697,61,16.0,55,0.0,1,1,390
88,10130.93442,59232,85,6.0,75,0.0,2,1,6443
89,3419.108695,40272,86,8.0,64,0.0,1,2,1602
90,23866.15656,0,81,27.0,93,1.0,2,2,7714
91,3179.474225,65742,79,6.0,0,0.0,1,1,1443
92,16407.66461,22103,109,16.0,31,0.0,2,1,7318
93,9371.773682,66325,117,10.0,10,0.0,5,2,6219
94,4270.034394,0,122,27.0,2,0.0,1,1,2204
95,5799.826802,60689,74,29.0,67,0.0,7,1,4009
96,5096.673223,22886,65,9.0,81,0.0,3,1,3157
97,15563.36944,0,253,15.0,40,5.0,7,1,7246
98,7475.784971,29633,196,26.0,57,0.0,1,1,4999
99,9986.661111,24067,132,12.0,2,0.0,6,1,6408
100,5568.656492,51489,139,14.0,10,0.0,1,2,3769
101,20579.69157,0,69,5.0,26,0.0,2,1,7570
102,8276.44416,0,82,29.0,92,0.0,2,2,5604
103,4014.332715,54054,99,7.0,55,0.0,1,2,2008
104,12989.81806,0,65,16.0,3,0.0,2,2,6913
105,15114.40241,28513,100,4.0,22,1.0,2,1,7189
106,4709.52218,0,66,17.0,29,0.0,3,2,2617
107,2452.977288,79898,62,5.0,86,1.0,1,2,349
108,3919.366722,66676,97,0.0,40,0.0,1,1,1946
109,12332.51669,85789,105,18.0,54,2.0,2,2,6827
110,35862.99324,26376,121,7.0,19,0.0,2,2,7951
111,2398.354197,14321,65,20.0,72,0.0,1,2,235
112,6005.847375,13528,86,21.0,35,0.0,3,2,4159
113,8013.895125,65636,67,15.0,72,0.0,2,1,5401
114,4979.079933,0,71,17.0,57,0.0,5,1,2999
115,4834.710493,38713,66,31.0,69,4.0,6,1,2786
116,3288.209809,0,102,16.0,1,1.0,1,1,1511
117,5525.470004,64816,69,30.0,33,0.0,7,2,3717
118,9031.214859,0,122,15.0,47,0.0,9,2,6080
119,4620.390087,0,130,11.0,0,0.0,1,2,2523
120,5552.596353,50470,71,1.0,87,0.0,8,2,3745
121,3842.028065,27906,102,5.0,57,0.0,1,1,1895
122,5093.379714,91814,63,30.0,99,0.0,3,1,3152
123,16794.31422,38399,106,12.0,6,0.0,2,2,7350
124,24278.10167,20983,97,10.0,52,1.0,2,2,7737
125,7462.926263,70263,93,30.0,66,0.0,5,1,4992
126,3735.838129,0,110,3.0,16,0.0,1,1,1824
127,2891.272351,80590,71,4.0,19,0.0,1,2,1193
128,11981.98481,21514,62,0.0,59,0.0,2,1,6777
129,4282.947971,40864,109,16.0,70,1.0,1,2,2216
130,5380.898636,55350,67,0.0,13,0.0,9,2,3543
131,5828.1822,31364,74,28.0,47,0.0,3,2,4039
132,5048.051359,34452,126,2.0,51,0.0,1,2,3094
133,7737.265103,50296,65,26.0,62,1.0,2,1,5209
134,7950.178237,26189,69,6.0,42,0.0,2,1,5353
135,8007.399376,0,112,12.0,93,0.0,3,1,5391
136,4873.436612,18866,126,4.0,62,0.0,1,1,2839
137,2252.416825,0,65,13.0,84,0.0,1,1,95
138,4957.033603,62803,62,16.0,12,0.0,5,1,2972
139,2655.864573,83460,66,20.0,18,0.0,1,1,766
140,5898.733666,53998,78,5.0,38,5.0,8,2,4089
141,17723.76398,25771,222,21.0,58,0.0,4,2,7409
142,4517.908834,25261,118,31.0,9,0.0,1,2,2421
143,5310.861767,0,72,17.0,11,1.0,3,2,3448
144,2773.455358,73478,68,2.0,38,0.0,1,1,991
145,5504.139033,0,73,18.0,45,0.0,5,2,3689
146,8488.561363,80213,70,12.0,17,0.0,2,1,5753
147,2471.528431,95697,61,16.0,55,0.0,1,1,390
148,12313.16484,0,116,7.0,57,0.0,2,1,6822
149,3982.180708,38500,99,26.0,49,1.0,1,1,1989
150,8237.037945,23940,107,13.0,34,0.0,7,1,5573
151,5366.779081,0,70,5.0,29,0.0,4,2,3527
152,5583.068307,57925,72,33.0,13,1.0,3,2,3790
153,7356.559341,81145,92,34.0,92,0.0,8,1,4905
154,10144.3094,27231,88,0.0,7,0.0,2,1,6444
155,8672.194272,22547,112,7.0,60,0.0,3,1,5889
156,2674.730716,56342,69,12.0,89,0.0,1,2,801
157,34611.37896,20090,109,10.0,59,0.0,2,1,7937
158,8071.334962,72149,101,18.0,43,0.0,6,2,5445
159,7255.714453,10710,94,12.0,33,0.0,7,1,4817
160,14510.7505,60120,182,30.0,21,0.0,6,1,7123
161,11009.13049,51643,283,16.0,43,0.0,1,1,6637
162,4633.336334,27132,63,32.0,59,1.0,4,1,2537
163,5272.518472,85607,66,26.0,1,0.0,3,2,3393
164,4340.086445,0,62,22.0,39,0.0,6,1,2261
165,5488.931031,33881,68,11.0,83,0.0,9,2,3670
166,14228.23432,31650,121,25.0,17,0.0,2,1,7095
167,12840.43291,0,90,1.0,94,0.0,2,2,6890
168,2673.319593,28728,67,8.0,10,0.0,1,2,798
169,5332.462694,68931,66,32.0,30,0.0,7,2,3481
170,10064.60828,20440,128,11.0,54,2.0,9,2,6426
171,8197.197078,0,110,27.0,87,0.0,3,1,5546
172,3514.212939,73643,89,2.0,2,0.0,1,2,1670
173,4293.009593,0,61,18.0,15,0.0,8,1,2219
174,3567.503755,0,102,28.0,11,0.0,1,1,1705
175,46805.22306,83006,235,8.0,61,1.0,2,2,8016
176,2666.976685,79251,67,10.0,32,1.0,1,2,788
177,13057.01188,0,190,9.0,67,0.0,7,2,6927
178,5823.162917,88359,73,1.0,49,0.0,9,1,4033
179,9536.338382,62421,80,22.0,50,2.0,2,1,6285
180,8107.26533,0,76,0.0,91,0.0,2,1,5479
181,3484.141641,34307,92,33.0,62,2.0,1,1,1650
182,34039.05613,0,104,26.0,66,0.0,2,1,7934
183,7995.441263,66685,67,35.0,50,2.0,2,1,5378
184,11611.94584,28915,76,10.0,49,0.0,2,2,6722
185,4454.104455,0,68,5.0,72,1.0,3,2,2355
186,5395.346288,0,74,13.0,30,0.0,4,2,3571
187,8447.888167,61337,105,35.0,46,0.0,9,2,5722
188,2927.07045,75685,73,35.0,47,0.0,1,2,1254
189,2960.029328,0,82,0.0,28,0.0,1,2,1296
190,6582.450781,0,62,3.0,44,0.0,2,2,4435
191,2844.849804,80306,71,11.0,12,0.0,1,2,1111
192,4434.411172,34549,111,8.0,78,0.0,1,1,2342
193,5568.947534,0,79,21.0,53,1.0,7,1,3771
194,7031.463693,16224,93,13.0,55,0.0,9,1,4681
195,2449.31771,47122,62,6.0,77,0.0,1,2,335
196,2504.444752,0,69,23.0,15,0.0,1,1,459
197,9095.049868,37937,116,11.0,42,0.0,5,1,6111
198,8071.65295,0,112,3.0,84,0.0,7,2,5446
199,15032.9003,17150,65,28.0,19,0.0,2,1,7182
200,8256.2978,62902,69,14.0,94,0.0,2,1,5583
201,11009.13049,51643,283,16.0,43,0.0,1,1,6637
202,5318.89664,25134,67,3.0,0,0.0,6,1,3458
203,4733.507343,0,62,5.0,41,0.0,3,1,2649
204,33473.34946,33190,106,18.0,95,0.0,2,1,7931
205,4550.856045,17913,116,0.0,39,0.0,1,2,2460
206,4772.943848,20993,133,35.0,90,0.0,1,2,2709
207,6285.15476,52210,80,6.0,74,0.0,9,2,4300
208,4434.941371,58082,112,31.0,66,1.0,1,2,2343
209,17254.03699,0,69,33.0,49,1.0,2,1,7381
210,2915.614781,86599,73,32.0,89,0.0,1,1,1239
211,15762.53198,44362,66,15.0,75,0.0,2,2,7262
212,4273.587765,82214,106,11.0,19,1.0,1,1,2208
213,2816.567395,41228,71,19.0,13,0.0,1,2,1061
214,5548.031892,67798,69,1.0,78,0.0,9,1,3739
215,32654.8383,0,153,7.0,75,0.0,2,2,7919
216,2927.734329,51991,73,4.0,95,0.0,1,2,1257
217,5320.081159,88669,66,9.0,18,1.0,4,2,3461
218,7590.050089,10375,66,10.0,95,0.0,2,1,5086
219,4605.036646,22571,63,29.0,51,0.0,9,1,2514
220,9587.586583,84539,119,10.0,71,0.0,4,1,6304
221,4873.350518,47824,129,8.0,56,3.0,1,2,2838
222,4786.054889,0,68,4.0,67,0.0,9,1,2728
223,15994.008,0,159,19.0,75,0.0,2,2,7286
224,5395.091602,86640,67,2.0,25,0.0,5,2,3570
225,2356.074955,0,63,22.0,94,0.0,1,2,179
226,5133.414764,53390,64,13.0,41,0.0,5,2,3210
227,4996.564694,25915,64,13.0,62,0.0,7,2,3026
228,3921.018919,62445,98,19.0,12,1.0,1,1,1948
229,20171.96154,24804,73,19.0,98,0.0,2,2,7544
230,5528.212807,36088,72,16.0,31,0.0,9,1,3722
231,4077.501164,53093,103,3.0,62,0.0,1,1,2060
232,4917.889638,0,71,27.0,81,0.0,5,1,2922
233,5686.961001,30242,72,30.0,23,0.0,3,1,3909
234,19259.84494,35973,159,5.0,97,0.0,2,1,7497
235,2486.064902,36635,63,20.0,28,0.0,1,2,419
236,5948.98896,88122,148,15.0,10,0.0,1,2,4129
237,10996.71336,0,104,29.0,73,0.0,2,1,6633
238,4803.935174,0,69,31.0,25,0.0,7,2,2749
239,7761.267839,43137,96,8.0,41,0.0,8,2,5226
240,4334.064096,23904,123,1.0,67,3.0,1,2,2256
241,7695.122957,50147,101,4.0,37,0.0,3,1,5175
242,2397.036098,22283,65,16.0,93,0.0,1,1,232
243,42561.63183,66661,119,23.0,41,0.0,2,1,8001
244,7153.208425,32238,91,15.0,80,0.0,4,2,4747
245,6143.898219,45032,77,13.0,35,0.0,3,1,4222
246,26180.80528,68189,82,10.0,17,1.0,2,1,7784
247,18688.30707,0,76,2.0,66,0.0,2,1,7464
248,7089.68396,52707,90,33.0,66,1.0,6,2,4712
249,41787.90343,46587,119,34.0,74,2.0,2,1,7997
250,4786.009693,23402,61,29.0,38,0.0,7,2,2727
251,7918.334928,44698,211,0.0,88,4.0,1,2,5334
252,2858.087414,27382,71,33.0,35,0.0,1,1,1132
253,2719.853023,41005,70,22.0,37,0.0,1,1,885
254,2837.109178,90893,70,8.0,82,0.0,1,2,1093
255,2535.321683,0,68,24.0,73,0.0,1,2,523
256,5555.830205,74015,72,12.0,61,0.0,6,2,3755
257,7937.064822,22862,67,9.0,40,0.0,2,2,5345
258,11790.49617,25251,66,13.0,43,0.0,2,1,6751
259,22305.32351,0,102,13.0,89,0.0,2,2,7657
260,6328.180924,0,100,17.0,21,2.0,4,1,4327
261,8433.228985,57961,72,27.0,64,0.0,2,2,5712
262,9657.579498,0,131,34.0,61,0.0,9,1,6326
263,7559.206998,0,119,33.0,58,1.0,3,1,5067
264,5755.18214,97657,71,2.0,19,0.0,8,1,3968
265,2868.598866,40046,73,10.0,51,0.0,1,1,1158
266,8256.2978,62902,69,14.0,94,0.0,2,1,5583
267,6595.101921,0,105,2.0,38,2.0,7,1,4437
268,8725.292767,69772,112,17.0,38,0.0,9,2,5936
269,3444.171166,0,93,10.0,63,0.0,1,2,1620
270,5217.513287,39854,66,6.0,4,0.0,7,2,3316
271,2769.252177,40506,70,14.0,98,0.0,1,2,982
272,11124.60499,0,112,25.0,69,0.0,2,1,6656
273,5394.703229,65978,67,3.0,50,0.0,3,2,3568
274,2816.756002,42937,71,14.0,9,0.0,1,1,1062
275,2585.206268,28137,65,23.0,2,0.0,1,1,627
276,4236.84292,14476,113,11.0,0,0.0,1,1,2187
277,34708.87261,0,109,3.0,19,0.0,2,2,7938
278,3034.646997,68205,76,35.0,14,0.0,1,2,1347
279,7844.252972,0,102,20.0,46,0.0,3,1,5280
280,3259.885006,52782,85,20.0,61,4.0,1,1,1496
281,2280.386988,0,61,16.0,29,0.0,1,2,116
282,5794.104234,88370,74,0.0,16,1.0,9,2,4004
283,12520.97907,0,126,4.0,59,0.0,2,2,6850
284,4089.463358,60759,104,20.0,85,0.0,1,2,2071
285,5771.610372,65709,72,33.0,77,0.0,3,2,3985
286,5133.635886,38795,65,23.0,64,0.0,3,2,3211
287,2531.73969,31993,66,14.0,4,1.0,1,2,515
288,9756.044954,67632,121,0.0,44,0.0,4,1,6353
289,2329.459058,20934,61,14.0,35,1.0,1,2,154
290,2514.59196,43860,65,15.0,58,0.0,1,2,481
291,4647.423581,28314,121,21.0,37,0.0,1,2,2555
292,9976.24549,74115,63,24.0,24,0.0,2,2,6405
293,2738.001957,0,74,27.0,91,0.0,1,2,926
294,2476.480866,47918,62,2.0,51,0.0,1,2,396
295,7250.029606,0,69,17.0,10,0.0,2,2,4813
296,5504.139033,0,73,18.0,45,0.0,5,2,3689
297,3776.665506,68727,94,19.0,76,0.0,1,2,1850
298,8932.317753,60909,112,8.0,94,0.0,5,1,6037
299,6352.961129,80587,78,7.0,5,0.0,6,1,4334
300,3785.754787,26318,96,23.0,29,0.0,1,2,1853
301,12663.59666,27739,104,16.0,22,0.0,2,2,6864
302,12625.27947,79421,104,2.0,85,0.0,2,1,6862
303,4964.63152,52679,62,21.0,3,0.0,4,1,2981
304,8658.863813,62464,109,23.0,45,0.0,4,2,5878
305,28119.28723,68211,99,9.0,21,0.0,2,1,7837
306,17435.68167,54105,73,22.0,15,2.0,2,1,7390
307,5553.362689,0,89,1.0,84,1.0,4,2,3748
308,3996.772165,46210,100,2.0,44,0.0,1,2,1998
309,4911.002585,32903,64,4.0,41,3.0,3,1,2908
310,5174.081063,88081,64,35.0,94,0.0,5,1,3263
311,2886.451602,10312,78,10.0,63,0.0,1,1,1187
312,15122.99194,0,72,35.0,86,0.0,2,2,7193
313,9517.07801,0,87,13.0,76,0.0,2,2,6282
314,4772.931526,15323,128,30.0,61,0.0,1,1,2708
315,3966.129505,72439,100,5.0,22,1.0,1,2,1975
316,2750.705045,51789,70,8.0,34,0.0,1,1,949
317,2175.740021,0,61,31.0,15,0.0,1,2,50
318,8663.919296,29218,72,33.0,40,0.0,2,2,5885
319,5200.22777,23401,66,17.0,34,0.0,3,1,3289
320,27528.31132,54586,76,1.0,91,0.0,2,1,7822
321,4731.749346,69833,118,32.0,99,0.0,1,1,2646
322,4791.081559,29111,63,3.0,65,0.0,5,1,2734
323,3300.607083,59592,84,8.0,49,0.0,1,2,1520
324,2619.027206,60477,65,12.0,38,0.0,1,1,704
325,4049.807215,42512,105,15.0,72,1.0,1,1,2040
326,17684.65456,82667,64,5.0,65,1.0,2,1,7407
327,8018.503854,58843,68,1.0,96,0.0,2,2,5403
328,5379.482798,24702,68,13.0,63,0.0,8,2,3539
329,4148.570285,61896,104,25.0,97,0.0,1,1,2115
330,11790.49617,25251,66,13.0,43,0.0,2,1,6751
331,7851.582939,48943,65,17.0,50,0.0,2,1,5285
332,2680.900678,41968,67,11.0,96,0.0,1,2,812
333,2981.875575,0,83,26.0,89,0.0,1,2,1314
334,4282.947971,40864,109,16.0,70,1.0,1,2,2216
335,4165.994433,0,64,27.0,32,3.0,5,2,2132
336,5783.175676,72354,73,9.0,10,0.0,8,1,3992
337,4904.894731,12902,139,3.0,51,0.0,1,2,2901
338,6615.815683,90414,83,7.0,49,1.0,6,2,4447
339,5352.218989,93606,67,23.0,44,0.0,3,1,3508
340,8561.561976,37759,108,9.0,51,0.0,5,1,5809
341,2798.834343,48675,71,26.0,62,1.0,1,1,1036
342,11663.98572,0,107,12.0,34,0.0,2,2,6733
343,8714.922135,0,118,14.0,64,0.0,4,2,5923
344,6900.951275,0,92,27.0,50,0.0,7,2,4616
345,14854.19552,37899,187,9.0,11,0.0,5,2,7161
346,2388.353882,0,73,12.0,84,0.0,1,2,216
347,8518.549119,0,112,19.0,86,1.0,8,1,5782
348,6731.050335,0,62,0.0,5,0.0,2,1,4513
349,4064.107529,0,107,31.0,41,0.0,1,1,2051
350,4477.45201,41402,119,26.0,26,4.0,1,1,2382
351,15173.96841,22448,126,20.0,32,0.0,2,2,7198
352,2955.495724,56502,74,15.0,78,0.0,1,1,1290
353,4525.365839,10269,65,12.0,5,0.0,3,1,2430
354,3061.052283,56869,83,25.0,34,3.0,1,1,1369
355,25807.063,71210,214,8.0,89,1.0,2,2,7776
356,4633.101259,0,70,0.0,86,0.0,3,1,2536
357,6647.846187,0,65,34.0,27,0.0,2,1,4466
358,4951.656084,46896,62,9.0,33,1.0,4,1,2966
359,8522.759016,0,109,19.0,2,0.0,3,1,5785
360,4605.036646,22571,63,29.0,51,0.0,9,1,2514
361,6689.022728,56980,84,33.0,70,0.0,7,2,4494
362,3412.566597,30335,87,17.0,42,0.0,1,1,1598
363,2063.387895,0,64,22.0,34,3.0,1,2,12
364,4764.189722,0,67,18.0,73,0.0,8,2,2697
365,4376.083958,0,69,21.0,70,4.0,3,1,2295
366,23594.6802,76358,66,25.0,3,0.0,2,1,7707
367,8490.284985,28677,78,3.0,30,0.0,2,1,5755
368,6183.185785,36464,78,5.0,17,0.0,7,2,4241
369,12047.775,43324,101,8.0,17,0.0,2,1,6785
370,8838.085637,82664,114,24.0,10,3.0,9,1,5989
371,3548.071725,0,96,10.0,77,0.0,1,2,1693
372,6960.920371,74487,88,8.0,86,0.0,3,2,4648
373,13736.1325,16181,181,22.0,79,0.0,8,2,7023
374,8438.463783,25539,112,15.0,63,0.0,3,1,5717
375,5096.673223,22886,65,9.0,81,0.0,3,1,3157
376,12280.76661,88340,102,16.0,1,0.0,2,1,6815
377,2926.5223,23656,80,11.0,1,3.0,1,1,1251
378,7851.901368,25950,66,27.0,1,0.0,2,2,5286
379,10348.01348,34244,87,14.0,34,2.0,2,1,6485
380,23086.36478,69240,194,16.0,29,0.0,2,2,7691
381,2503.660407,53338,63,24.0,35,1.0,1,1,458
382,4200.373728,51510,106,11.0,17,0.0,1,2,2162
383,7281.44014,0,69,28.0,28,3.0,2,1,4836
384,6410.967544,61709,82,5.0,41,2.0,7,2,4359
385,2937.424534,83195,73,18.0,36,1.0,1,1,1269
386,3401.881747,41972,86,20.0,23,0.0,1,1,1592
387,2640.58732,59961,68,8.0,7,0.0,1,2,746
388,2701.039719,39141,68,22.0,7,0.0,1,2,855
389,6988.401604,22436,89,24.0,21,0.0,3,2,4663
390,7896.706446,0,111,22.0,21,0.0,8,2,5317
391,5510.965059,99553,68,14.0,85,0.0,6,1,3701
392,5282.543094,38606,68,16.0,99,0.0,3,2,3408
393,18853.73945,0,173,24.0,21,0.0,2,1,7472
394,3781.4548,57647,94,3.0,99,0.0,1,2,1851
395,5867.12642,27880,74,4.0,9,0.0,5,2,4061
396,5989.773931,66839,154,33.0,24,0.0,1,1,4150
397,2671.295549,45525,66,1.0,41,0.0,1,1,795
398,34611.37896,20090,109,10.0,59,0.0,2,1,7937
399,8879.790017,52583,113,12.0,59,0.0,7,2,6013
400,5116.237577,0,70,1.0,11,0.0,5,1,3185
401,2351.878675,12928,64,12.0,74,0.0,1,1,173
402,5981.381645,88723,74,12.0,94,0.0,8,2,4149
403,8288.155579,33816,106,10.0,97,2.0,3,1,5614
404,2521.555686,53703,67,3.0,45,2.0,1,2,496
405,2471.528431,95697,61,16.0,55,0.0,1,1,390
406,6874.326693,22093,87,15.0,8,0.0,9,1,4595
407,12296.49757,55193,105,8.0,22,1.0,2,1,6818
408,9223.987144,18814,122,20.0,94,0.0,3,2,6169
409,12902.56014,86584,111,33.0,54,2.0,2,2,6903
410,8861.900439,41854,110,17.0,44,0.0,8,1,6004
411,7503.367741,52464,95,9.0,15,0.0,3,2,5024
412,4462.445111,70088,112,0.0,33,0.0,1,2,2362
413,3245.479985,35592,82,34.0,38,0.0,1,1,1493
414,2651.615963,33201,66,9.0,56,0.0,1,1,760
415,2379.614363,0,71,28.0,15,0.0,1,2,206
416,4642.020128,0,64,10.0,15,0.0,5,2,2548
417,11003.54385,0,102,20.0,7,1.0,2,2,6635
418,17771.54902,0,114,30.0,1,0.0,2,1,7413
419,4516.811394,0,124,29.0,9,0.0,1,1,2420
420,9426.971158,26263,85,11.0,31,0.0,2,1,6253
421,4992.063043,0,71,6.0,5,0.0,3,1,3019
422,5732.686642,39337,74,29.0,1,1.0,9,1,3945
423,7821.188278,0,109,31.0,74,0.0,3,2,5266
424,2308.692609,0,64,33.0,98,0.0,1,2,134
425,6788.084852,0,93,2.0,70,0.0,9,1,4550
426,2776.772734,70793,69,32.0,1,0.0,1,2,999
427,6141.961623,0,182,24.0,45,0.0,1,2,4221
428,4628.995325,0,67,25.0,21,0.0,4,1,2532
429,12883.11573,77469,109,2.0,98,1.0,2,1,6897
430,16477.47799,57264,84,0.0,30,1.0,2,2,7324
431,2864.820306,0,109,2.0,8,4.0,1,1,1152
432,4737.411455,0,68,2.0,26,0.0,3,1,2653
433,2417.759961,51808,61,3.0,12,1.0,1,2,267
434,2300.691547,25905,63,21.0,12,0.0,1,1,127
435,6874.84827,0,96,35.0,27,0.0,6,2,4596
436,3887.324208,96335,97,7.0,43,0.0,1,1,1925
437,3619.060986,0,98,27.0,47,0.0,1,1,1742
438,8622.835375,97361,73,6.0,85,0.0,2,2,5852
439,10148.41973,44856,66,24.0,71,1.0,2,1,6446
440,4928.001408,97917,67,14.0,32,5.0,3,1,2934
441,2874.08847,33462,72,12.0,9,0.0,1,2,1168
442,19327.87406,57245,124,25.0,15,0.0,2,2,7500
443,4941.650159,0,137,17.0,5,0.0,1,1,2954
444,7255.137772,67352,181,7.0,80,1.0,1,2,4815
445,13379.81103,0,194,13.0,83,0.0,3,2,6987
446,24084.5352,65196,67,0.0,54,0.0,2,2,7724
447,8847.444221,17950,118,34.0,24,0.0,4,2,5996
448,16979.79757,35095,73,25.0,56,0.0,2,1,7363
449,6355.678846,0,61,25.0,79,0.0,2,1,4335
450,5308.246978,0,145,29.0,70,0.0,1,1,3443
451,2359.423599,19864,63,22.0,96,0.0,1,1,184
452,8564.768226,95697,107,29.0,29,0.0,9,2,5811
453,7986.191274,74217,100,35.0,3,0.0,6,1,5372
454,3554.845264,58557,88,4.0,83,0.0,1,1,1699
455,13840.16012,29658,119,20.0,66,0.0,2,2,7038
456,2530.705137,89451,63,11.0,2,0.0,1,1,512
457,24238.66071,0,109,19.0,49,2.0,2,1,7733
458,3052.629532,0,93,15.0,31,3.0,1,1,1359
459,9161.655119,91763,113,22.0,64,0.0,3,1,6145
460,11578.12643,0,115,21.0,46,0.0,2,1,6718
461,3900.906002,95018,97,21.0,81,0.0,1,2,1935
462,23903.68234,0,74,12.0,72,1.0,2,1,7718
