,Unnamed: 0,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,month
119,119,8276.44416,0,82,29.0,92,0.0,2,590.4,2
122,122,15114.40241,28513,100,4.0,22,1.0,2,480.0,1
123,123,4709.52218,0,66,17.0,29,0.0,3,470.576119,2
129,129,2398.354197,14321,65,20.0,72,0.0,1,423.823547,2
134,134,4834.710493,38713,66,31.0,69,4.0,6,316.8,1
137,137,9031.214859,0,122,15.0,47,0.0,9,650.52179,2
138,138,4620.390087,0,130,11.0,0,0.0,1,936.0,2
139,139,5552.596353,50470,71,1.0,87,0.0,8,377.498287,2
141,141,5093.379714,91814,63,30.0,99,0.0,3,167.037619,1
142,142,16794.31422,38399,106,12.0,6,0.0,2,368.890904,2
143,143,24278.10167,20983,97,10.0,52,1.0,2,451.751555,2
144,144,7462.926263,70263,93,30.0,66,0.0,5,7.345946,1
146,146,2891.272351,80590,71,4.0,19,0.0,1,134.158389,2
152,152,5048.051359,34452,126,2.0,51,0.0,1,604.8,2
153,153,7737.265103,50296,65,26.0,62,1.0,2,46.804,1
156,156,8007.399376,0,112,12.0,93,0.0,3,537.6,1
159,159,4957.033603,62803,62,16.0,12,0.0,5,400.959425,1
161,161,5898.733666,53998,78,5.0,38,5.0,8,414.519064,2
165,165,5310.861767,0,72,17.0,11,1.0,3,345.6,2
166,166,2773.455358,73478,68,2.0,38,0.0,1,241.88878,1
167,167,5504.139033,0,73,18.0,45,0.0,5,350.4,2
171,171,2471.528431,95697,61,16.0,55,0.0,1,114.273025,1
173,173,12313.16484,0,116,7.0,57,0.0,2,835.2,1
174,174,3982.180708,38500,99,26.0,49,1.0,1,423.286512,1
175,175,8237.037945,23940,107,13.0,34,0.0,7,513.6,1
180,180,7356.559341,81145,92,34.0,92,0.0,8,321.060571,1
182,182,8672.194272,22547,112,7.0,60,0.0,3,537.6,1
185,185,8071.334962,72149,101,18.0,43,0.0,6,69.310166,2
188,188,14510.7505,60120,182,30.0,21,0.0,6,716.469391,1
191,191,4633.336334,27132,63,32.0,59,1.0,4,302.4,1
194,194,5488.931031,33881,68,11.0,83,0.0,9,65.659137,2
195,195,14228.23432,31650,121,25.0,17,0.0,2,580.8,1
197,197,2673.319593,28728,67,8.0,10,0.0,1,321.6,2
198,198,5332.462694,68931,66,32.0,30,0.0,7,309.577946,2
199,199,10064.60828,20440,128,11.0,54,2.0,9,614.4,2
203,203,4293.009593,0,61,18.0,15,0.0,8,292.8,1
204,204,3567.503755,0,102,28.0,11,0.0,1,660.430456,1
209,209,5823.162917,88359,73,1.0,49,0.0,9,35.915639,1
212,212,3484.141641,34307,92,33.0,62,2.0,1,186.025014,1
213,213,34039.05613,0,104,26.0,66,0.0,2,499.2,1
214,214,7995.441263,66685,67,35.0,50,2.0,2,38.763897,1
216,216,4454.104455,0,68,5.0,72,1.0,3,326.4,2
217,217,5395.346288,0,74,13.0,30,0.0,4,355.2,2
219,219,2927.07045,75685,73,35.0,47,0.0,1,369.918482,2
221,221,6582.450781,0,62,3.0,44,0.0,2,297.6,2
223,223,2844.849804,80306,71,11.0,12,0.0,1,340.8,2
227,227,4434.411172,34549,111,8.0,78,0.0,1,125.933005,1
229,229,7031.463693,16224,93,13.0,55,0.0,9,498.452698,1
230,230,2449.31771,47122,62,6.0,77,0.0,1,297.6,2
231,231,2504.444752,0,69,23.0,15,0.0,1,496.8,1
232,232,9095.049868,37937,116,11.0,42,0.0,5,556.8,1
233,233,8071.65295,0,112,3.0,84,0.0,7,806.4,2
234,234,15032.9003,17150,65,28.0,19,0.0,2,689.800891,1
236,236,11009.13049,51643,283,16.0,43,0.0,1,1358.4,1
240,240,4550.856045,17913,116,0.0,39,0.0,1,556.8,2
243,243,4434.941371,58082,112,31.0,66,1.0,1,103.022126,2
246,246,15762.53198,44362,66,15.0,75,0.0,2,142.113373,2
247,247,4273.587765,82214,106,11.0,19,1.0,1,239.143671,1
250,250,32654.8383,0,153,7.0,75,0.0,2,1101.6,2
253,253,2927.734329,51991,73,4.0,95,0.0,1,124.376921,2
257,257,7590.050089,10375,66,10.0,95,0.0,2,316.8,1
258,258,4605.036646,22571,63,29.0,51,0.0,9,302.4,1
263,263,4873.350518,47824,129,8.0,56,3.0,1,546.046853,2
264,264,4786.054889,0,68,4.0,67,0.0,9,489.6,1
266,266,5395.091602,86640,67,2.0,25,0.0,5,65.457366,2
267,267,2356.074955,0,63,22.0,94,0.0,1,302.4,2
271,271,3921.018919,62445,98,19.0,12,1.0,1,681.167228,1
272,272,20171.96154,24804,73,19.0,98,0.0,2,350.4,2
273,273,5528.212807,36088,72,16.0,31,0.0,9,345.6,1
274,274,4077.501164,53093,103,3.0,62,0.0,1,98.991733,1
279,279,19259.84494,35973,159,5.0,97,0.0,2,763.2,1
286,286,7695.122957,50147,101,4.0,37,0.0,3,484.8,1
288,288,42561.63183,66661,119,23.0,41,0.0,2,571.2,1
289,289,7153.208425,32238,91,15.0,80,0.0,4,439.781453,2
291,291,26180.80528,68189,82,10.0,17,1.0,2,343.121192,1
293,293,7089.68396,52707,90,33.0,66,1.0,6,432.0,2
297,297,4786.009693,23402,61,29.0,38,0.0,7,292.8,2
298,298,7918.334928,44698,211,0.0,88,4.0,1,1012.8,2
299,299,2858.087414,27382,71,33.0,35,0.0,1,134.104322,1
302,302,2837.109178,90893,70,8.0,82,0.0,1,70.712507,2
303,303,2535.321683,0,68,24.0,73,0.0,1,326.4,2
311,311,8433.228985,57961,72,27.0,64,0.0,2,38.513959,2
319,319,3444.171166,0,93,10.0,63,0.0,1,7.991571,2
325,325,5394.703229,65978,67,3.0,50,0.0,3,251.795869,2
327,327,2585.206268,28137,65,23.0,2,0.0,1,312.0,1
331,331,3034.646997,68205,76,35.0,14,0.0,1,99.382943,2
332,332,7844.252972,0,102,20.0,46,0.0,3,273.945412,1
336,336,5794.104234,88370,74,0.0,16,1.0,9,355.2,2
343,343,2329.459058,20934,61,14.0,35,1.0,1,292.8,2
344,344,2514.59196,43860,65,15.0,58,0.0,1,156.124914,2
348,348,9976.24549,74115,63,24.0,24,0.0,2,275.349481,2
349,349,2738.001957,0,74,27.0,91,0.0,1,263.365432,2
350,350,2476.480866,47918,62,2.0,51,0.0,1,246.256648,2
351,351,7250.029606,0,69,17.0,10,0.0,2,496.8,2
353,353,3776.665506,68727,94,19.0,76,0.0,1,386.520235,2
363,363,5553.362689,0,89,1.0,84,1.0,4,640.8,2
366,366,5174.081063,88081,64,35.0,94,0.0,5,82.483947,1
369,369,15122.99194,0,72,35.0,86,0.0,2,518.4,2
371,371,4772.931526,15323,128,30.0,61,0.0,1,614.4,1
372,372,3966.129505,72439,100,5.0,22,1.0,1,480.0,2
373,373,2750.705045,51789,70,8.0,34,0.0,1,336.0,1
375,375,8663.919296,29218,72,33.0,40,0.0,2,502.369442,2
376,376,5200.22777,23401,66,17.0,34,0.0,3,316.8,1
377,377,27528.31132,54586,76,1.0,91,0.0,2,122.590766,1
378,378,4731.749346,69833,118,32.0,99,0.0,1,828.662719,1
386,386,8018.503854,58843,68,1.0,96,0.0,2,200.490816,2
387,387,5379.482798,24702,68,13.0,63,0.0,8,214.91451,2
389,389,11790.49617,25251,66,13.0,43,0.0,2,316.8,1
390,390,7851.582939,48943,65,17.0,50,0.0,2,105.068788,1
391,391,2680.900678,41968,67,11.0,96,0.0,1,183.207703,2
393,393,4282.947971,40864,109,16.0,70,1.0,1,166.937747,2
396,396,4904.894731,12902,139,3.0,51,0.0,1,667.2,2
400,400,8561.561976,37759,108,9.0,51,0.0,5,518.4,1
406,406,6900.951275,0,92,27.0,50,0.0,7,428.064465,2
411,411,4064.107529,0,107,31.0,41,0.0,1,513.6,1
412,412,4477.45201,41402,119,26.0,26,4.0,1,571.2,1
413,413,15173.96841,22448,126,20.0,32,0.0,2,604.8,2
419,419,25807.063,71210,214,8.0,89,1.0,2,1027.2,2
421,421,4633.101259,0,70,0.0,86,0.0,3,336.0,1
434,434,23594.6802,76358,66,25.0,3,0.0,2,86.461582,1
440,440,3548.071725,0,96,10.0,77,0.0,1,446.122702,2
442,442,13736.1325,16181,181,22.0,79,0.0,8,1261.319869,2
445,445,12280.76661,88340,102,16.0,1,0.0,2,489.6,1
446,446,2926.5223,23656,80,11.0,1,3.0,1,384.0,1
447,447,7851.901368,25950,66,27.0,1,0.0,2,271.697529,2
449,449,10348.01348,34244,87,14.0,34,2.0,2,417.6,1
462,462,3401.881747,41972,86,20.0,23,0.0,1,691.709371,1
465,465,6988.401604,22436,89,24.0,21,0.0,3,427.2,2
467,467,5510.965059,99553,68,14.0,85,0.0,6,111.586995,1
468,468,5282.543094,38606,68,16.0,99,0.0,3,413.288851,2
469,469,18853.73945,0,173,24.0,21,0.0,2,1245.6,1
471,471,3781.4548,57647,94,3.0,99,0.0,1,451.2,2
472,472,5867.12642,27880,74,4.0,9,0.0,5,199.444294,2
473,473,5989.773931,66839,154,33.0,24,0.0,1,739.2,1
474,474,2671.295549,45525,66,1.0,41,0.0,1,316.8,1
479,479,8879.790017,52583,113,12.0,59,0.0,7,528.20086,2
481,481,5116.237577,0,70,1.0,11,0.0,5,131.401291,1
482,482,2351.878675,12928,64,12.0,74,0.0,1,307.2,1
484,484,8288.155579,33816,106,10.0,97,2.0,3,508.8,1
488,488,12296.49757,55193,105,8.0,22,1.0,2,504.0,1
490,490,9223.987144,18814,122,20.0,94,0.0,3,585.6,2
492,492,12902.56014,86584,111,33.0,54,2.0,2,532.8,2
497,497,7503.367741,52464,95,9.0,15,0.0,3,515.930856,2
499,499,3245.479985,35592,82,34.0,38,0.0,1,496.805418,1
501,501,2379.614363,0,71,28.0,15,0.0,1,747.107317,2
502,502,4642.020128,0,64,10.0,15,0.0,5,770.254285,2
504,504,17771.54902,0,114,30.0,1,0.0,2,547.2,1
509,509,7821.188278,0,109,31.0,74,0.0,3,784.8,2
511,511,6788.084852,0,93,2.0,70,0.0,9,855.341729,1
512,512,2776.772734,70793,69,32.0,1,0.0,1,62.625841,2
513,513,6141.961623,0,182,24.0,45,0.0,1,1310.4,2
514,514,4628.995325,0,67,25.0,21,0.0,4,482.4,1
515,515,12883.11573,77469,109,2.0,98,1.0,2,757.170246,1
518,518,4737.411455,0,68,2.0,26,0.0,3,326.4,1
522,522,3887.324208,96335,97,7.0,43,0.0,1,161.388136,1
523,523,3619.060986,0,98,27.0,47,0.0,1,310.842085,1
525,525,10148.41973,44856,66,24.0,71,1.0,2,316.8,1
526,526,4928.001408,97917,67,14.0,32,5.0,3,279.184512,1
528,528,19327.87406,57245,124,25.0,15,0.0,2,681.577742,2
538,538,5308.246978,0,145,29.0,70,0.0,1,358.765757,1
539,539,2359.423599,19864,63,22.0,96,0.0,1,352.394515,1
545,545,2530.705137,89451,63,11.0,2,0.0,1,61.769564,1
546,546,24238.66071,0,109,19.0,49,2.0,2,784.8,1
548,548,3052.629532,0,93,15.0,31,3.0,1,446.4,1
550,550,11578.12643,0,115,21.0,46,0.0,2,1163.620366,1
555,555,8112.323843,87403,68,1.0,63,0.0,2,456.290338,2
556,556,3647.24611,20694,94,29.0,89,1.0,1,451.2,1
557,557,5384.532684,59364,67,25.0,56,0.0,5,321.6,2
559,559,4911.773088,0,69,26.0,33,0.0,9,496.8,1
562,562,10208.92761,35482,129,21.0,59,0.0,3,619.2,2
563,563,9217.978125,26351,119,14.0,87,0.0,7,571.2,1
564,564,10506.93706,61650,88,8.0,2,0.0,2,117.470445,2
567,567,4923.950434,31093,63,3.0,78,0.0,3,302.4,1
568,568,18745.39592,27229,99,20.0,9,0.0,2,475.2,2
571,571,2703.466256,0,72,19.0,48,0.0,1,41.927219,2
572,572,2458.746211,0,70,20.0,44,0.0,1,504.0,1
575,575,5558.31428,0,188,5.0,61,4.0,1,2156.011022,2
576,576,2678.457672,0,83,3.0,85,1.0,1,398.4,2
579,579,5471.83429,53526,68,27.0,69,0.0,4,278.902846,2
580,580,4879.384813,67163,61,17.0,41,2.0,5,33.192803,1
584,584,3440.361969,23870,91,4.0,92,0.0,1,500.577875,2
587,587,5619.689084,0,153,25.0,5,0.0,1,1027.000029,1
588,588,22721.47396,21724,198,4.0,51,0.0,2,1505.230405,1
591,591,5704.977144,50695,71,31.0,30,0.0,5,110.567069,1
594,594,3571.34607,73853,89,7.0,35,0.0,1,427.2,2
600,600,8268.272933,95419,70,6.0,61,3.0,2,336.0,2
603,603,6325.030596,0,89,4.0,86,0.0,7,614.572672,2
607,607,4563.872603,0,124,32.0,39,0.0,1,595.2,2
609,609,5140.11289,0,138,22.0,18,0.0,1,900.617364,1
611,611,10541.10977,59965,131,7.0,54,0.0,7,905.030448,2
613,613,7606.70898,47778,96,2.0,81,0.0,7,173.80879,2
614,614,30763.25637,41279,115,1.0,30,0.0,2,251.429988,1
615,615,2726.834065,0,73,8.0,63,0.0,1,376.923839,1
616,616,4751.280948,30887,119,15.0,18,0.0,1,444.167713,2
617,617,2631.564135,0,71,11.0,68,0.0,1,340.8,1
619,619,4988.579794,38928,64,14.0,18,0.0,8,326.660051,2
621,621,15470.59658,68086,194,34.0,6,0.0,3,218.342169,2
622,622,5324.38786,31561,68,8.0,62,0.0,7,326.4,1
623,623,3763.637743,93595,97,15.0,30,4.0,1,49.797016,2
625,625,6105.801637,0,84,0.0,57,0.0,5,395.740207,2
627,627,4458.113369,17622,65,1.0,36,1.0,3,312.0,1
628,628,2660.931663,53333,66,4.0,34,0.0,1,22.945038,1
631,631,8110.305608,52548,101,10.0,1,0.0,5,587.504777,1
639,639,4686.469674,58089,118,31.0,83,0.0,1,566.4,2
641,641,8672.229719,0,245,34.0,83,0.0,1,2345.413441,1
642,642,3199.824902,78784,80,33.0,72,0.0,1,239.964694,1
645,645,7284.262288,10334,64,5.0,80,0.0,2,296.962938,2
651,651,5093.479191,0,71,12.0,55,0.0,3,150.878447,1
652,652,3141.333694,24019,79,14.0,27,0.0,1,47.22861,1
653,653,2582.408525,76731,64,2.0,68,0.0,1,201.455005,2
656,656,5085.023369,0,72,15.0,18,1.0,3,571.531582,2
658,658,5607.253592,39507,70,32.0,17,0.0,5,283.743206,2
664,664,5791.610721,80480,72,6.0,55,0.0,7,242.842607,2
674,674,8622.835375,97361,73,6.0,85,0.0,2,350.4,2
675,675,5568.889245,53295,70,12.0,97,0.0,8,250.423844,1
678,678,2685.425957,75329,67,15.0,17,0.0,1,45.905292,1
682,682,9192.592887,37388,117,30.0,21,0.0,5,561.6,2
684,684,4914.731004,14232,64,13.0,1,0.0,5,307.2,2
687,687,2949.282616,78596,73,11.0,0,0.0,1,106.267659,1
689,689,4553.809528,61064,113,32.0,77,0.0,1,539.774172,2
697,697,8457.461231,26023,72,26.0,33,1.0,2,79.463916,1
698,698,6744.190752,0,90,3.0,74,0.0,4,547.912576,2
699,699,2827.328603,20368,72,30.0,36,0.0,1,345.6,1
700,700,9150.137599,32370,115,2.0,77,0.0,4,552.0,2
701,701,3038.114641,31532,79,1.0,26,0.0,1,241.077843,1
702,702,11005.02349,0,69,31.0,69,2.0,2,496.8,1
704,704,11533.47722,41098,96,3.0,15,0.0,2,250.058657,2
705,705,2706.606128,22664,73,0.0,8,0.0,1,350.4,1
712,712,2791.880258,72389,70,3.0,76,0.0,1,206.158416,1
713,713,8609.158215,79090,107,2.0,74,0.0,3,289.040734,1
717,717,5229.68034,26540,69,13.0,65,1.0,5,331.2,2
719,719,2354.495752,0,64,19.0,72,0.0,1,333.830572,1
722,722,4363.124641,54514,109,5.0,36,3.0,1,286.234931,1
728,728,4984.618655,86305,62,1.0,99,0.0,5,80.73124,1
731,731,14057.42125,36261,118,14.0,78,0.0,2,1197.713861,1
734,734,2430.870824,28476,62,3.0,76,0.0,1,297.6,2
737,737,4736.34799,0,65,33.0,1,0.0,3,585.454243,2
738,738,32450.39142,60455,104,20.0,25,0.0,2,499.2,2
741,741,5824.767025,38492,72,27.0,34,0.0,3,207.901654,2
742,742,5220.685297,68867,129,19.0,91,0.0,1,619.2,1
743,743,4341.363555,23352,112,0.0,86,0.0,1,537.6,1
746,746,4711.080198,13933,62,25.0,32,0.0,6,49.364254,1
750,750,3576.705025,24959,89,19.0,13,0.0,1,640.8,1
753,753,6899.709949,37308,86,19.0,69,0.0,9,301.011106,1
759,759,5845.426201,43145,73,1.0,0,0.0,6,516.421124,1
760,760,2756.472584,43540,70,29.0,60,0.0,1,117.585017,1
762,762,5603.73932,95284,69,6.0,35,0.0,4,327.647322,1
765,765,12655.52878,26149,157,2.0,17,0.0,7,753.6,2
767,767,14435.67365,60880,119,25.0,89,0.0,2,109.906628,1
768,768,2914.955295,37803,74,26.0,51,0.0,1,355.2,2
771,771,11855.13545,0,170,10.0,74,0.0,5,1227.491941,2
772,772,2491.257604,25965,65,23.0,27,0.0,1,329.206567,2
774,774,4772.943848,20993,133,35.0,90,0.0,1,638.4,2
776,776,3664.22055,0,103,8.0,75,0.0,1,642.773149,2
778,778,3914.719645,0,112,6.0,0,0.0,1,587.861936,1
779,779,36293.14678,18047,242,5.0,50,0.0,2,1350.379181,1
782,782,9890.210998,52408,125,13.0,12,0.0,9,179.125777,2
784,784,4863.470811,52728,127,34.0,34,1.0,1,609.6,2
787,787,2466.581354,0,70,6.0,18,0.0,1,504.0,1
789,789,2150.178588,0,61,28.0,31,0.0,1,292.8,2
790,790,24127.50402,14072,71,13.0,3,0.0,2,511.2,1
792,792,4626.801093,79487,114,20.0,87,0.0,1,547.2,1
795,795,8717.049833,83846,74,22.0,94,3.0,2,355.2,2
797,797,2409.368488,0,66,3.0,97,0.0,1,316.8,2
798,798,20708.25881,92079,65,12.0,68,1.0,2,114.798771,2
799,799,8564.768226,95697,107,29.0,29,0.0,9,178.006524,2
801,801,3944.231185,33282,100,24.0,66,1.0,1,207.510821,1
804,804,8360.14874,48521,105,9.0,89,0.0,7,263.82569,2
806,806,14396.24222,0,205,14.0,63,0.0,4,1476.0,2
807,807,9100.787395,38898,117,26.0,68,0.0,3,561.6,1
813,813,8639.49502,92374,107,16.0,9,1.0,3,220.018279,2
816,816,20230.9675,48448,74,24.0,11,1.0,2,355.2,2
817,817,4267.076892,43682,107,12.0,73,0.0,1,148.003496,2
818,818,3933.813993,25927,103,6.0,20,0.0,1,674.973614,1
820,820,6612.220871,0,97,31.0,34,2.0,9,669.399277,1
821,821,2913.323811,20075,79,7.0,2,1.0,1,483.731784,1
824,824,4170.687348,29462,107,28.0,23,1.0,1,513.6,1
825,825,14722.22122,43982,126,20.0,68,1.0,2,604.8,2
826,826,24108.30057,17257,70,1.0,88,0.0,2,551.132139,1
830,830,7540.584824,29697,64,6.0,43,0.0,2,147.128736,1
832,832,7605.637524,55281,192,22.0,68,1.0,1,921.6,1
839,839,3834.210713,0,112,13.0,13,0.0,1,806.4,1
841,841,2939.939038,97735,73,24.0,26,0.0,1,188.667196,2
845,845,9111.75642,54751,114,6.0,50,0.0,3,721.241935,2
846,846,5096.673223,22886,65,9.0,81,0.0,3,312.0,1
851,851,13197.92893,0,68,19.0,2,3.0,2,326.4,1
852,852,5059.325681,67371,63,25.0,14,0.0,3,86.599774,2
853,853,10506.77172,0,92,15.0,36,0.0,2,546.524896,1
855,855,5619.068508,50335,140,9.0,54,0.0,1,456.52385,2
861,861,12941.73353,77060,106,23.0,90,0.0,2,468.566133,1
864,864,2602.24525,38166,67,25.0,5,1.0,1,236.842746,1
865,865,4526.126785,0,64,32.0,89,1.0,3,307.2,1
867,867,10436.57466,24177,92,4.0,37,1.0,2,441.6,2
868,868,7172.070153,73836,182,8.0,35,3.0,1,553.385695,1
870,870,4502.207001,46402,113,7.0,2,0.0,1,476.385575,1
877,877,4826.831451,18779,63,10.0,65,0.0,4,215.255721,2
879,879,2894.583582,28204,73,6.0,12,0.0,1,486.987555,2
880,880,23740.12142,28025,87,28.0,94,0.0,2,611.40108,1
881,881,2829.312319,25860,72,12.0,46,0.0,1,345.6,2
882,882,13473.18567,25302,70,13.0,16,1.0,2,336.0,2
883,883,8170.621997,95241,68,3.0,12,1.0,2,87.803087,1
884,884,3187.351993,0,85,27.0,29,0.0,1,595.160486,2
886,886,5028.739297,0,67,21.0,60,0.0,5,216.196521,1
887,887,7684.887717,62192,98,30.0,28,0.0,5,243.292609,2
889,889,4899.977003,76594,122,26.0,9,1.0,1,832.453791,1
891,891,6520.824777,93721,80,22.0,62,0.0,6,489.594642,2
892,892,5497.659883,28128,70,6.0,52,0.0,4,336.0,2
893,893,6466.304259,0,90,3.0,76,0.0,7,144.776935,1
894,894,5956.545724,48993,74,6.0,29,0.0,4,810.461707,1
896,896,9928.986032,75716,247,2.0,32,0.0,1,562.088587,1
897,897,7714.650119,0,74,33.0,24,0.0,2,532.8,1
901,901,2580.849899,46900,66,13.0,59,0.0,1,316.8,2
903,903,8085.448545,61409,68,30.0,80,0.0,2,264.040157,1
904,904,8390.122077,0,78,22.0,3,0.0,2,732.340362,1
910,910,7356.010439,36812,92,23.0,98,1.0,4,392.695097,2
913,913,6631.665538,32918,84,33.0,69,0.0,3,403.2,1
916,916,4926.282836,49185,61,11.0,92,0.0,8,126.950071,1
923,923,6496.197101,89285,81,25.0,3,0.0,3,109.032565,1
924,924,6006.963446,0,80,5.0,10,0.0,8,488.910614,1
928,928,7804.597655,0,117,18.0,84,4.0,8,91.055318,1
930,930,5169.49937,12430,73,22.0,13,0.0,4,350.4,2
932,932,3394.720301,83431,84,13.0,33,0.0,1,403.2,1
936,936,12168.64405,0,109,28.0,96,0.0,2,30.989755,2
937,937,4726.869327,13037,124,28.0,49,0.0,1,839.348464,1
940,940,4526.94696,92921,112,35.0,49,0.0,1,109.28708,2
941,941,4605.036646,22571,63,29.0,51,0.0,9,302.4,1
942,942,12741.84754,73054,106,34.0,36,1.0,2,419.365958,1
944,944,5850.451386,24317,73,2.0,35,1.0,3,350.4,1
946,946,10396.53186,34948,130,20.0,15,0.0,7,443.786437,2
948,948,3585.884123,49080,91,14.0,68,0.0,1,25.299,1
951,951,2491.257604,25965,65,23.0,27,0.0,1,329.206567,2
953,953,5874.820212,35301,74,23.0,68,0.0,7,128.643975,1
954,954,2550.659053,69230,63,31.0,13,0.0,1,283.241868,2
955,955,8704.278179,38072,113,10.0,36,1.0,3,151.055863,1
956,956,7286.789075,65870,61,21.0,40,1.0,2,202.847644,2
957,957,5293.717318,0,74,14.0,43,0.0,4,712.126586,1
959,959,3241.314176,66889,80,6.0,16,0.0,1,294.319428,1
961,961,11177.7521,20742,100,17.0,52,0.0,2,455.851876,1
963,963,8406.763319,67128,105,33.0,90,0.0,4,339.017729,2
967,967,8161.1704,12266,114,25.0,36,1.0,3,732.050007,1
968,968,12148.94098,37025,101,15.0,36,0.0,2,427.243803,1
971,971,4883.551402,19096,64,17.0,5,0.0,3,374.8996,1
975,975,2869.997625,70974,71,15.0,0,0.0,1,340.8,2
976,976,25390.54546,19359,129,0.0,62,0.0,2,928.8,2
977,977,7343.52792,0,72,26.0,12,3.0,2,345.6,2
984,984,4838.208972,73769,61,24.0,95,2.0,3,239.540223,1
985,985,2821.947219,38977,70,27.0,22,0.0,1,139.489926,1
986,986,2152.081322,0,65,8.0,50,0.0,1,460.379966,2
988,988,2965.71995,26472,74,22.0,31,0.0,1,355.2,2
989,989,6081.048248,0,82,26.0,33,0.0,3,393.6,1
990,990,26843.12452,36068,97,0.0,10,0.0,2,113.367765,1
991,991,5678.050167,0,76,8.0,44,0.0,3,364.8,1
996,996,2624.896858,18129,71,23.0,59,0.0,1,340.8,1
1000,1000,8489.843197,0,130,3.0,46,0.0,3,624.0,1
1001,1001,5055.902381,88989,63,19.0,28,1.0,3,232.745161,1
1002,1002,25997.74996,62262,72,17.0,2,0.0,2,193.505325,2
1005,1005,5447.201066,68815,68,29.0,37,0.0,3,114.743385,2
1006,1006,2241.108638,0,63,5.0,7,0.0,1,453.6,2
1008,1008,12866.89474,0,189,24.0,93,0.0,6,1415.579302,2
1012,1012,8336.08382,0,67,10.0,50,2.0,2,445.265108,2
1013,1013,13080.78528,0,124,12.0,58,0.0,2,595.2,2
1017,1017,8436.350708,49182,70,6.0,86,0.0,2,165.410515,1
1022,1022,4250.282624,0,61,17.0,1,1.0,7,292.8,1
1023,1023,16515.00927,51725,138,9.0,16,1.0,2,159.004261,2
1026,1026,7933.820656,76505,65,32.0,89,0.0,2,144.051716,1
