,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
43,PR23514,California,7664.219255,No,Basic,College,2011-01-23,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize,1
44,UY32623,California,3593.12645,No,Extended,College,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,2
45,QV30663,Nevada,9863.502214,No,Extended,Master,2011-02-28,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,2
46,MS94619,California,5111.304579,No,Basic,High School or Below,2011-02-13,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,2
47,TX39594,Arizona,2452.491364,No,Basic,High School or Below,2011-01-25,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,1
48,GR42174,Oregon,2194.668123,No,Basic,College,2011-01-02,Unemployed,M,0,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,1
49,XI79589,California,4473.883999,No,Extended,High School or Below,2011-02-16,Unemployed,F,0,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,2
50,XQ74827,Arizona,19435.62924,No,Extended,High School or Below,2011-02-01,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,2
51,TW17878,Oregon,2457.576007,No,Basic,High School or Below,2011-01-27,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,1
52,GB43363,Oregon,6870.607058,No,Premium,College,2011-01-24,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,1
53,IQ95180,Oregon,5651.396772,No,Basic,Bachelor,2011-01-19,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,1
54,JX52708,California,4556.068318,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,2
55,AV25133,Oregon,3095.705571,No,Extended,College,2011-01-12,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,1
56,WL24392,Arizona,5860.16743,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,2
57,LO57874,Oregon,2300.691547,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,1
58,UO54511,California,4950.250892,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,1
59,NY12562,Nevada,2224.089639,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,1
60,QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,1
61,PH78214,Oregon,5427.174517,No,Basic,College,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,2
62,LO37570,Arizona,12157.5413,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,1
63,FH81409,California,8152.244431,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,1
64,RW65977,Arizona,2191.133237,No,Basic,College,2011-01-29,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,1
65,LD75023,Oregon,26346.08582,No,Extended,High School or Below,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,1
66,OZ92426,Oregon,2364.43161,No,Basic,College,2011-01-18,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,1
67,FI17798,California,2710.12066,No,Basic,Doctor,2011-01-11,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,1
68,YC54142,Washington,74228.51604,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,1
69,LN28900,California,14687.07959,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,2
70,SX63814,Arizona,9312.585034,No,Premium,High School or Below,2011-02-13,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,2
71,VM85555,California,7750.120323,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,2
72,RO18530,Washington,2540.689797,No,Basic,Master,2011-02-28,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,2
73,FR48094,Arizona,2456.816127,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,2
74,DY27653,Oregon,3755.806897,No,Extended,High School or Below,2011-01-04,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,1
75,CH50584,Oregon,32474.76977,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,1
76,KO86181,Oregon,6941.872931,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,2
77,KD63933,California,7048.384055,No,Basic,College,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,2
78,CM66204,Arizona,26770.44534,No,Basic,College,2011-01-23,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,1
79,NV13794,Nevada,9549.113813,No,Basic,High School or Below,2011-02-09,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,2
80,HF75891,Washington,4331.460674,No,Basic,High School or Below,2011-02-11,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,2
81,NB81923,Washington,7294.492993,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,2
82,AV96010,Oregon,3289.120863,No,Extended,College,2011-01-29,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,1
83,PK23339,Arizona,3417.953745,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,1
84,JY66887,California,16320.76716,No,Extended,High School or Below,2011-02-27,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,2
85,NH16984,California,2838.067784,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,2
86,UV12583,California,4700.583771,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,2
87,VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,1
88,AK11669,Arizona,10130.93442,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,1
89,SZ60450,California,3419.108695,No,Extended,High School or Below,2011-02-13,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,2
90,MS87381,California,23866.15656,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,2
91,No31089,Arizona,3179.474225,No,Extended,Bachelor,2011-01-21,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,1
92,TK65222,California,16407.66461,No,Premium,Bachelor,2011-01-12,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,1
93,HB48073,Arizona,9371.773682,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,2
94,DO60145,Arizona,4270.034394,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,1
95,BA40043,California,5799.826802,No,Basic,College,2011-01-03,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,1
96,EC28398,Oregon,5096.673223,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,1
97,FE99816,Nevada,15563.36944,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,1
98,HS39343,Washington,7475.784971,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,1
99,GL44478,Oregon,9986.661111,No,Extended,High School or Below,2011-01-22,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,1
100,EF84269,California,5568.656492,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,2
101,RD22761,Washington,20579.69157,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,1
102,DO41287,Oregon,8276.44416,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,2
103,OO89057,California,4014.332715,No,Extended,Master,2011-02-17,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684,Four-Door Car,Medsize,2
104,DQ92905,Arizona,12989.81806,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,2
105,EW33419,California,15114.40241,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,1
106,KH16079,Washington,4709.52218,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,2
107,GU99037,Oregon,2452.977288,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,2
108,BM92346,California,3919.366722,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,1
109,RU75949,Oregon,12332.51669,No,Basic,College,2011-02-28,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122.302824,Sports Car,Medsize,2
110,PP35705,California,35862.99324,No,Extended,High School or Below,2011-02-26,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,2
111,ZM45168,Oregon,2398.354197,No,Basic,College,2011-02-14,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,2
112,SH93005,California,6005.847375,Yes,Extended,College,2011-02-23,Retired,M,13528,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,2
113,CJ72056,California,8013.895125,No,Basic,Bachelor,2011-01-17,Employed,M,65636,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize,1
114,ZY20779,Washington,4979.079933,No,Basic,High School or Below,2011-01-29,Unemployed,M,0,Suburban,Single,71,17.0,57,0.0,5,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,1
115,BP28492,Arizona,4834.710493,Yes,Basic,College,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,1
116,AN67558,Nevada,3288.209809,No,Basic,College,2011-01-16,Unemployed,M,0,Suburban,Single,102,16.0,1,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,734.4,SUV,Large,1
117,ZJ90079,Arizona,5525.470004,No,Basic,College,2011-02-01,Employed,F,64816,Suburban,Married,69,30.0,33,0.0,7,Corporate Auto,Corporate L2,Offer3,Agent,331.2,Four-Door Car,Small,2
118,GS85403,Washington,9031.214859,Yes,Extended,Master,2011-02-23,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize,2
119,SK95364,California,4620.390087,No,Extended,College,2011-02-26,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,2
120,UI80897,Washington,5552.596353,No,Basic,High School or Below,2011-02-27,Employed,M,50470,Suburban,Divorced,71,1.0,87,0.0,8,Corporate Auto,Corporate L2,Offer4,Call Center,377.498287,Two-Door Car,Large,2
121,OJ65428,Nevada,3842.028065,No,Premium,College,2011-01-19,Disabled,M,27906,Suburban,Divorced,102,5.0,57,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,489.6,Four-Door Car,Medsize,1
122,WP64059,California,5093.379714,No,Basic,Bachelor,2011-01-06,Employed,F,91814,Urban,Married,63,30.0,99,0.0,3,Personal Auto,Personal L1,Offer3,Call Center,167.037619,Two-Door Car,Medsize,1
123,IP52990,Oregon,16794.31422,No,Basic,High School or Below,2011-02-24,Employed,F,38399,Urban,Married,106,12.0,6,0.0,2,Personal Auto,Personal L3,Offer2,Web,368.890904,SUV,Medsize,2
124,VF36700,Oregon,24278.10167,No,Extended,Master,2011-02-26,Retired,F,20983,Urban,Single,97,10.0,52,1.0,2,Personal Auto,Personal L2,Offer1,Branch,451.751555,Four-Door Car,Medsize,2
125,NR16284,California,7462.926263,Yes,Extended,College,2011-01-28,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,7.345946,Two-Door Car,Small,1
126,AB13432,California,3735.838129,No,Basic,Bachelor,2011-01-04,Unemployed,M,0,Suburban,Single,110,3.0,16,0.0,1,Personal Auto,Personal L3,Offer1,Agent,792.0,SUV,Medsize,1
127,XX53620,Oregon,2891.272351,No,Basic,Bachelor,2011-02-02,Employed,F,80590,Rural,Married,71,4.0,19,0.0,1,Corporate Auto,Corporate L3,Offer4,Branch,134.158389,Four-Door Car,Small,2
